iter	Passed	Remaining
408	4854	113830
409	4864	113785
410	4876	113774
411	4888	113766
412	4899	113738
413	4911	113720
414	4923	113706
415	4934	113693
416	4946	113668
417	4957	113652
418	4969	113630
419	4979	113591
420	4991	113573
421	5003	113564
422	5014	113532
423	5027	113537
424	5038	113515
425	5050	113511
426	5061	113478
427	5073	113471
428	5086	113476
429	5098	113468
430	5110	113456
431	5121	113440
432	5132	113395
433	5143	113361
434	5154	113347
435	5166	113335
436	5178	113324
437	5188	113280
438	5199	113231
439	5210	113211
440	5223	113215
441	5234	113196
442	5245	113169
443	5257	113155
444	5269	113142
445	5281	113130
446	5293	113130
447	5305	113131
448	5317	113102
449	5327	113069
450	5340	113064
451	5351	113049
452	5362	113010
453	5374	113008
454	5386	112992
455	5397	112974
456	5408	112946
457	5421	112944
458	5433	112944
459	5445	112936
460	5457	112926
461	5469	112928
462	5481	112901
463	5491	112867
464	5504	112870
465	5517	112880
466	5530	112896
467	5542	112885
468	5555	112889
469	5567	112881
470	5579	112887
471	5592	112891
472	5604	112888
473	5616	112879
474	5628	112868
475	5640	112853
476	5651	112835
477	5664	112833
478	5676	112828
479	5688	112816
480	5700	112810
481	5711	112791
482	5723	112776
483	5735	112773
484	5747	112748
485	5758	112727
486	5769	112707
487	5781	112695
488	5794	112693
489	5805	112675
490	5817	112657
491	5829	112652
492	5841	112652
493	5853	112632
494	5863	112598
495	5876	112598
496	5888	112594
497	5900	112589
498	5912	112565
499	5923	112547
500	5935	112545
501	5947	112526
502	5959	112523
503	5971	112514
504	5982	112490
505	5995	112484
506	6007	112474
507	6019	112465
508	6029	112436
509	6041	112423
510	6053	112410
511	6065	112392
512	6076	112382
513	6088	112368
514	6100	112360
515	6111	112326
516	6123	112312
517	6134	112301
518	6147	112294
519	6158	112282
520	6170	112262
521	6181	112242
522	6193	112226
523	6205	112214
524	6216	112198
525	6229	112198
526	6242	112203
527	6254	112200
528	6266	112195
529	6279	112194
530	6291	112191
531	6303	112177
532	6314	112153
533	6326	112145
534	6338	112133
535	6349	112116
536	6361	112108
537	6373	112098
538	6386	112095
539	6398	112084
540	6410	112080
541	6422	112072
542	6433	112038
543	6444	112024
544	6457	112021
545	6468	111998
546	6480	111987
547	6491	111964
548	6503	111953
549	6514	111931
550	6526	111921
551	6538	111910
552	6550	111899
553	6562	111892
554	6573	111874
555	6586	111883
556	6598	111874
557	6611	111867
558	6622	111850
559	6634	111838
560	6647	111845
561	6660	111853
562	6671	111831
563	6683	111821
564	6695	111811
565	6708	111817
566	6719	111794
567	6732	111794
568	6744	111792
569	6756	111785
570	6768	111770
571	6781	111768
572	6792	111758
573	6805	111751
574	6816	111731
575	6828	111722
576	6840	111707
577	6852	111703
578	6863	111677
579	6876	111680
580	6888	111673
581	6899	111650
582	6912	111652
583	6924	111639
584	6936	111630
585	6949	111635
586	6961	111629
587	6971	111599
588	6983	111586
589	6995	111575
590	7007	111561
591	7019	111552
592	7031	111548
593	7043	111536
594	7055	111518
595	7067	111510
596	7078	111487
597	7089	111468
598	7102	111469
599	7113	111450
600	7126	111450
601	7138	111434
602	7149	111419
603	7162	111419
604	7174	111411
605	7186	111400
606	7199	111403
607	7211	111396
608	7222	111378
609	7234	111361
610	7247	111366
611	7258	111349
612	7271	111343
613	7282	111329
614	7294	111310
615	7306	111310
616	7318	111300
617	7330	111293
618	7342	111281
619	7355	111277
620	7368	111282
621	7379	111264
622	7392	111263
623	7404	111251
624	7416	111241
625	7427	111229
626	7439	111214
627	7451	111196
628	7462	111177
629	7474	111169
630	7486	111162
631	7499	111156
632	7510	111144
633	7522	111135
634	7534	111122
635	7546	111114
636	7559	111106
637	7571	111100
638	7583	111088
639	7595	111078
640	7606	111063
641	7620	111072
642	7631	111058
643	7643	111050
644	7654	111019
645	7666	111009
646	7678	111006
647	7690	110996
648	7703	110987
649	7715	110979
650	7727	110969
651	7738	110951
652	7750	110943
653	7762	110931
654	7774	110917
655	7785	110900
656	7798	110893
657	7809	110876
658	7822	110876
659	7833	110856
660	7845	110842
661	7857	110839
662	7868	110817
663	7881	110811
664	7893	110799
665	7903	110774
666	7916	110777
667	7928	110766
668	7939	110739
669	7951	110727
670	7963	110713
671	7975	110700
672	7987	110691
673	7999	110682
674	8010	110670
675	8023	110665
676	8035	110661
677	8047	110649
678	8059	110632
679	8070	110619
680	8083	110611
681	8094	110597
682	8106	110587
683	8118	110575
684	8130	110569
685	8143	110566
686	8155	110552
687	8166	110538
688	8178	110527
689	8190	110507
690	8202	110497
691	8214	110487
692	8226	110477
693	8237	110463
694	8249	110447
695	8260	110431
696	8272	110413
697	8283	110393
